t,stamp,laptop_mara,phone_mara,keys_mara,wallet_mara,backpack_mara,notebook_mara,pen_mara,mug_mara,water_bottle_mara,glasses_mara,jacket_mara,umbrella_mara,laptop_leo,phone_leo,keys_leo,wallet_leo,backpack_leo,headphones_leo,gaming_controller_leo,charger_leo,mug_leo,bowl_leo,jacket_leo,notebook_leo,phone_sofia,keys_sofia,wallet_sofia,backpack_sofia,lunchbox_sofia,water_bottle_sofia,charger_sofia,jacket_sofia,hairbrush_sofia,makeup_kit_sofia,medication_bottle_sofia,book_sofia,remote_1,blanket_1,plate_1,plate_2,pot_1,pan_1,laundry_basket_1,vacuum_cleaner_1
11280,d07 Mon 20:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,bedroom_2,bedroom_2,entry,living,living,living,kitchen,living,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_3,bedroom_3,bedroom_3,outside,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
11340,d07 Mon 21:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,bedroom_2,bedroom_2,entry,living,living,living,kitchen,living,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_3,bedroom_3,bedroom_3,outside,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
11400,d07 Mon 22:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,bedroom_2,bedroom_2,entry,living,living,living,kitchen,living,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_3,bedroom_3,bedroom_3,outside,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
11460,d07 Mon 23:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,bedroom_2,bedroom_2,entry,living,living,living,kitchen,living,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_3,bedroom_3,bedroom_3,outside,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
11520,d08 Tue 00:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,bedroom_2,bedroom_2,entry,living,living,living,kitchen,living,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_3,bedroom_3,bedroom_3,outside,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
11580,d08 Tue 01:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,kitchen,entry,living,living,bedroom_2,kitchen,living,entry,living,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
11640,d08 Tue 02:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,kitchen,entry,living,living,bedroom_2,kitchen,living,entry,living,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
11700,d08 Tue 03:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,kitchen,entry,living,living,bedroom_2,kitchen,living,entry,living,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
11760,d08 Tue 04:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,kitchen,entry,living,living,bedroom_2,kitchen,living,entry,living,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
11820,d08 Tue 05:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,kitchen,entry,living,living,bedroom_2,kitchen,living,entry,living,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
11880,d08 Tue 06:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,kitchen,entry,living,living,bedroom_2,kitchen,living,entry,living,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
11940,d08 Tue 07:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,kitchen,entry,living,living,bedroom_2,kitchen,living,entry,living,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
12000,d08 Tue 08:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,kitchen,outside,outside,outside,outside,outside,living,living,outside,kitchen,living,outside,living,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
12060,d08 Tue 09:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,living,living,outside,kitchen,living,outside,living,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
12120,d08 Tue 10:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,living,living,outside,kitchen,living,outside,living,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
12180,d08 Tue 11:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,living,living,outside,kitchen,living,outside,living,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
12240,d08 Tue 12:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,living,living,outside,kitchen,living,outside,living,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
12300,d08 Tue 13:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,living,living,outside,kitchen,living,outside,living,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
12360,d08 Tue 14:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,living,living,outside,kitchen,living,outside,living,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
12420,d08 Tue 15:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,living,living,outside,kitchen,kitchen,outside,living,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
12480,d08 Tue 16:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,bedroom_1,outside,outside,outside,outside,outside,outside,outside,living,living,outside,kitchen,kitchen,outside,living,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_3,bedroom_3,bedroom_3,outside,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
12540,d08 Tue 17:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,outside,outside,outside,outside,outside,living,living,outside,kitchen,kitchen,outside,living,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_3,bedroom_3,bedroom_3,outside,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
12600,d08 Tue 18:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,entry,bedroom_2,bedroom_2,living,living,living,kitchen,kitchen,entry,living,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_3,bedroom_3,bedroom_3,outside,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
12660,d08 Tue 19:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,entry,bedroom_2,bedroom_2,living,living,living,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_3,bedroom_3,bedroom_3,outside,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
12720,d08 Tue 20:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,entry,bedroom_2,bedroom_2,living,living,living,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_3,bedroom_3,bedroom_3,outside,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
12780,d08 Tue 21:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,entry,bedroom_2,bedroom_2,living,living,living,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_3,bedroom_3,bedroom_3,outside,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
12840,d08 Tue 22:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,entry,bedroom_2,bedroom_2,living,living,living,kitchen,living,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_3,bedroom_3,bedroom_3,outside,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
12900,d08 Tue 23:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,entry,bedroom_2,bedroom_2,living,living,living,kitchen,living,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_3,bedroom_3,bedroom_3,outside,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
12960,d09 Wed 00:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,entry,bedroom_2,bedroom_2,living,living,living,kitchen,living,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_3,bedroom_3,bedroom_3,outside,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
13020,d09 Wed 01:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,bedroom_2,bedroom_2,living,living,bedroom_2,kitchen,living,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
13080,d09 Wed 02:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,bedroom_2,bedroom_2,living,living,bedroom_2,kitchen,living,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
13140,d09 Wed 03:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,bedroom_2,bedroom_2,living,living,bedroom_2,kitchen,living,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
13200,d09 Wed 04:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,bedroom_2,bedroom_2,living,living,bedroom_2,kitchen,living,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
13260,d09 Wed 05:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,bedroom_2,bedroom_2,living,living,bedroom_2,kitchen,living,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
13320,d09 Wed 06:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,bedroom_2,bedroom_2,living,living,bedroom_2,kitchen,living,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
13380,d09 Wed 07:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,bedroom_2,bedroom_2,living,living,bedroom_2,kitchen,living,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
13440,d09 Wed 08:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,living,bedroom_2,bedroom_2,living,living,bedroom_2,living,living,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
13500,d09 Wed 09:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,living,bedroom_2,bedroom_2,living,living,bedroom_2,living,living,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_1,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
13560,d09 Wed 10:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,living,bedroom_2,living,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_1,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
13620,d09 Wed 11:00,kitchen,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_1,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
13680,d09 Wed 12:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_1,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
13740,d09 Wed 13:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,living,bedroom_2,bedroom_2,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
13800,d09 Wed 14:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,entry,bedroom_2,bedroom_2,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,bedroom_3,entry,bathroom,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
13860,d09 Wed 15:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,entry,living,living,entry,bedroom_2,bedroom_2,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,bedroom_3,entry,bathroom,bedroom_3,bedroom_3,bedroom_3,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
13920,d09 Wed 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,entry,bedroom_2,bedroom_2,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,bathroom,bedroom_3,bedroom_3,outside,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
13980,d09 Wed 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,entry,entry,living,living,entry,bedroom_2,bedroom_2,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,bathroom,bedroom_3,bedroom_3,outside,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry
14040,d09 Wed 18:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bathroom,entry,entry,living,living,entry,bedroom_2,bedroom_2,living,living,living,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,bathroom,bedroom_3,bedroom_3,outside,living,living,kitchen,kitchen,kitchen,kitchen,entry,entry
14100,d09 Wed 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,entry,bedroom_2,bedroom_2,living,living,living,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,bathroom,bedroom_3,bedroom_3,outside,living,living,kitchen,kitchen,kitchen,kitchen,entry,entry
14160,d09 Wed 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,kitchen,entry,bedroom_2,bedroom_2,living,living,living,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,bathroom,bedroom_3,bedroom_3,outside,living,living,kitchen,kitchen,kitchen,kitchen,entry,entry
14220,d09 Wed 21:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,kitchen,entry,bedroom_2,bedroom_2,living,living,living,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,bathroom,bedroom_3,bedroom_3,outside,living,living,kitchen,kitchen,kitchen,kitchen,entry,entry
14280,d09 Wed 22:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,kitchen,entry,bedroom_2,bedroom_2,living,living,living,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,bathroom,bedroom_3,bedroom_3,outside,living,living,kitchen,kitchen,kitchen,kitchen,entry,entry
14340,d09 Wed 23:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,kitchen,entry,bedroom_2,bedroom_2,living,living,living,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,bathroom,bedroom_3,bedroom_3,outside,living,living,kitchen,kitchen,kitchen,kitchen,entry,entry
14400,d10 Thu 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,kitchen,entry,bedroom_2,bedroom_2,living,living,living,kitchen,kitchen,kitchen,kitchen,bathroom,bathroom,bathroom,bathroom,bathroom,bathroom,bathroom,bathroom,bathroom,bedroom_3,bedroom_3,bathroom,living,living,kitchen,kitchen,kitchen,kitchen,entry,entry
14460,d10 Thu 01:00,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,entry,bedroom_2,living,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_3,bedroom_3,kitchen,bedroom_3,bedroom_3,entry,bathroom,bedroom_3,bedroom_3,bedroom_3,living,living,kitchen,kitchen,kitchen,kitchen,entry,entry
14520,d10 Thu 02:00,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,entry,bedroom_2,living,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_3,bedroom_3,kitchen,bedroom_3,bedroom_3,entry,bathroom,bedroom_3,bedroom_3,bedroom_3,living,living,kitchen,kitchen,kitchen,kitchen,entry,entry
14580,d10 Thu 03:00,bedroom_1,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,entry,entry,living,living,entry,bedroom_2,living,kitchen,living,living,kitchen,kitchen,kitchen,kitchen,kitchen,entry,bedroom_3,bedroom_3,kitchen,bedroom_3,bedroom_3,entry,bathroom,bedroom_3,bedroom_3,bedroom_3,living,living,kitchen,kitchen,kitchen,kitchen,entry,entry
